date,city,country,avg_temp_c
02/08/01,Aleppo,Syria,29.396
02/09/01,Aleppo,Syria,26.078
02/10/01,Aleppo,Syria,21.185
02/11/01,Aleppo,Syria,13.707
02/12/01,Aleppo,Syria,5.473
03/01/01,Aleppo,Syria,7.598
03/02/01,Aleppo,Syria,6.078
03/03/01,Aleppo,Syria,9.83
03/04/01,Aleppo,Syria,16.322
03/05/01,Aleppo,Syria,24.059
03/06/01,Aleppo,Syria,27.373
03/07/01,Aleppo,Syria,30.343
03/08/01,Aleppo,Syria,30.795
03/09/01,Aleppo,Syria,25.61
03/10/01,Aleppo,Syria,20.955
03/11/01,Aleppo,Syria,12.28
03/12/01,Aleppo,Syria,7.194
04/01/01,Aleppo,Syria,6.316
04/02/01,Aleppo,Syria,7.077
04/03/01,Aleppo,Syria,13.24
04/04/01,Aleppo,Syria,16.525
04/05/01,Aleppo,Syria,21.562
04/06/01,Aleppo,Syria,27.305
04/07/01,Aleppo,Syria,30.5
04/08/01,Aleppo,Syria,29.282
04/09/01,Aleppo,Syria,26.306
04/10/01,Aleppo,Syria,21.446
04/11/01,Aleppo,Syria,12.621
04/12/01,Aleppo,Syria,5.571
05/01/01,Aleppo,Syria,6.415
05/02/01,Aleppo,Syria,7.258
05/03/01,Aleppo,Syria,12.285
05/04/01,Aleppo,Syria,17.283
05/05/01,Aleppo,Syria,22.257
05/06/01,Aleppo,Syria,26.582
05/07/01,Aleppo,Syria,30.535
05/08/01,Aleppo,Syria,30.156
05/09/01,Aleppo,Syria,25.816
05/10/01,Aleppo,Syria,18.423
05/11/01,Aleppo,Syria,11.214
05/12/01,Aleppo,Syria,9.044
06/01/01,Aleppo,Syria,5.455
06/02/01,Aleppo,Syria,8.438
06/03/01,Aleppo,Syria,12.631
06/04/01,Aleppo,Syria,17.417
06/05/01,Aleppo,Syria,22.921
06/06/01,Aleppo,Syria,28.307
06/07/01,Aleppo,Syria,29.614
06/08/01,Aleppo,Syria,30.644
06/09/01,Aleppo,Syria,25.925
06/10/01,Aleppo,Syria,19.773
06/11/01,Aleppo,Syria,11.031
06/12/01,Aleppo,Syria,5.837
07/01/01,Aleppo,Syria,4.724
07/02/01,Aleppo,Syria,8.351
07/03/01,Aleppo,Syria,12.045
07/04/01,Aleppo,Syria,14.404
07/05/01,Aleppo,Syria,24.139
07/06/01,Aleppo,Syria,28.113
07/07/01,Aleppo,Syria,31.132
07/08/01,Aleppo,Syria,30.266
07/09/01,Aleppo,Syria,26.777
07/10/01,Aleppo,Syria,21.27
07/11/01,Aleppo,Syria,12.863
07/12/01,Aleppo,Syria,6.622
08/01/01,Aleppo,Syria,3.063
08/02/01,Aleppo,Syria,7.025
08/03/01,Aleppo,Syria,15.067
08/04/01,Aleppo,Syria,19.416
08/05/01,Aleppo,Syria,21.837
